Scenario,Method,Group,Accuracy,Prec. Macro,Rec. Macro,F1 Macro,Prec. Weighted,Rec. Weighted,F1 Weighted,ROC-AUC,PR-AUC
A1,BERT-Base,A — Baseline,0.9072081764389457,0.7619855958504779,0.7840647447030218,0.7725723335734953,0.9098740567496421,0.9072081764389457,0.908310003429622,0.9402176659690852,0.7918236360917734
A2,RoBERTa-Base,A — Baseline,0.900484131253362,0.7414232104931443,0.7966913624170733,0.7655997945798024,0.9117375666154041,0.900484131253362,0.9049362839302044,0.93744088401486,0.7809747045570209
A3,HateBERT,A — Baseline,0.9061323292092522,0.7509484434192052,0.7783300951459652,0.763639017725014,0.9089889033635815,0.9061323292092522,0.9069525461767364,0.9451591683228117,0.7921552487445463
??,Ensemble,B — Ensemble,,,,,,,,,
B1,Hard Voting,B — Ensemble,0.9120494889725659,0.763445449925948,0.7984078514627894,0.7798075595570455,0.9167479788884499,0.9120494889725659,0.9138665829143187,0.8667579879916772,0.681487205699128
B2,Soft Voting,B — Ensemble,0.9112426035502958,0.7631092823310226,0.8013617639388894,0.7808993362353135,0.9164506071062808,0.9112426035502958,0.9132074855671515,0.9480152650355581,0.8011386439416027
??,Ensemble,C — Few-Shot+Aug,,,,,,,,,
C1,BERT-Base+Aug,C — Few-Shot+Aug,0.8948359332974718,0.7309128547763283,0.7712620421377707,0.7483618071879024,0.9056138533569092,0.8948359332974718,0.8995332471917169,0.9260537258025575,0.7601081260687939
C2,RoBERTa-Base+Aug,C — Few-Shot+Aug,0.893491124260355,0.7289303697552221,0.7909473854607271,0.7546385736628012,0.9092607322374844,0.893491124260355,0.8998198569768877,0.9325157661728275,0.774423042356529
C3,HateBERT+Aug,C — Few-Shot+Aug,0.8953738569123184,0.7363753954747713,0.772250381157355,0.7511792035322628,0.9064948592110059,0.8953738569123184,0.9002753714866819,0.9401892263477766,0.7738019371536295
C4,Hard Voting+Aug,C — Few-Shot+Ensemble,0.9029047875201721,0.746626864750055,0.790028253579741,0.7654080313939868,0.9131965958532091,0.9029047875201721,0.9073240022162029,0.8601076869631555,0.6671768037795142
C5,Soft Voting+Aug,C — Few-Shot+Ensemble,0.9055944055944056,0.7523085182534001,0.7924387201769393,0.7703383106050583,0.9135801357939456,0.9055944055944056,0.9090104345939364,0.9433662907453874,0.7879183163647694
